startIpNum	endIpNum	locId
16777216	16777471	17
16777472	16778239	49
16778240	16779263	17
16779264	16781311	47667
16781312	16785407	659898
16785408	16793599	47667
16793600	16798975	663722
16798976	16799231	663721
